Multilingual,lg family,family code ,Language (group),alternate lg (group),language code,Language (based on native name),dialect code,ISO 3 Letter country code,OfficialVillageName,MajorCity,PopulationNumber,village (RB),village (DNAFLA),village (SIL),village (map),Transcribed Village Name,N Lat,W Lon,NFr,WFr,Nmn60,Wmn60,NMinFr,WMinFr,Ndg,Wdg,N Lat_2,W Lon_2,N SIL,W SIL,N Lat source,WLon source,N Lat map,WLon map,N Lat us,W Long us,sourceOfCoordinates,name of map,lg comment,industries,weekly market,surnames,social info,Image,ImageDescription,Audio,AudioTranscription,Video,VideoTranscription
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Anaton,,,,,,,ànà-tɔ̂ⁿ,14.191,-3.193,0.828,0.995,11.0,11.0,11.828,11.995,14,03,14 11.828,03 11.995,,,,,,,14 11.828,03 11.995,Dogon project,Bandiagara (not shown),,,,,"village in plains, settled from Samani; surname Guindo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Bankass,,,,,,Bankass,báŋkà:s,14.074,-3.517,0.802,0.083,4.0,31.0,04.802,31.083,14,03,14 04.802,03 31.083,,,,,14 04,03 31,14 04.802,03 31.083,Dogon project,Bandiagara,"in Tengou Kan zone but now cosmopolitan, Bambara widely used",,Tuesday,,"large city in plains, cosmopolitan; hotel, government offices, churches, etc.",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Bereli,,,,,,Béréli,bérélì,14.269,-3.219,0.33,0.305,16.0,13.0,16.330,13.305,14,03,14 16.330,03 13.305,,,,,14 17,03 13,14 16.330,03 13.305,Dogon project,Bandiagara,,,"Thursday, local",,"village in plains; surname Guindo (majority, originally from Ende on the cliffs), Sagara, Kassogue, and Karambe (all Tengou Kan speaking); Tagadiou, Guirou, Dara (all Toro So speaking); Catholic and Protestant churches; farming and herding; extensive gardens",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Bougou,,,,,,Bougou,búgù,14.27,-3.668,0.345,0.157,16.0,40.0,16.345,40.157,14,03,14 16.345,03 40.157,,,,,,,14 16.345,03 40.157,Dogon project,Bandiagara,,,,Guindo,village on plateau next to Bandiagara-Bankass highway; settled from Guimini & Yabatalou,,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Ennde,,,,,,Enndé,,14.033,-3.533,,,2.0,32.0,02,32,14,03,14 02,03 32,,,,,14 02,03 32,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Iribanga,,,,,,,"yéríⁿ-báŋá (""guest-owner"")",,,,,,,,,,,,,,,,,,,,,,Bandiagara,,,,,"cluster of villages in plains, see Iribanga-Kana, Iribanga-Pe, Iribanga (Fulbe)",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Iribanga-Kana,,,,,,,"yèrìⁿ-bàŋà kàná (""... new"")",14.123,-3.442,0.678,0.886,7.0,26.0,07.678,26.886,14,03,14 07.678,03 26.886,,,,,,,14 07.678,03 26.886,Dogon project,Bandiagara (not shown),"majority Tengou Kan, some Togo Kan",,,,"village in plains, split off from Iribanga-Pe (which is mostly Togo Kan speaking); surnames Guindo and Togo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Iribanga-Pe,,,,,,Iribanga,"yèrìⁿ-bàŋà pɛ̌ⁿ (""... old"")",14.141,-3.442,0.834,0.912,8.0,26.0,08.834,26.912,14,03,14 08.834,03 26.912,,,,,,,14 08.834,03 26.912,Dogon project,Bandiagara,"majority Togo Kan, some Tengou Kan",,,,"one of two Iribanga villages, settled from Bagou near Bankass [see Iribanga-Kana, mostly Tengou Kan speaking], in plains; surnames Togo (majority) and some Guindo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Samani,,,,,,Samani,sǎwⁿrⁿù,14.216,-3.216,,,13.0,13.0,13,13,14,03,14 13,03 13,,,,,14 13,03 13,,,map,Bandiagara,,,,,"village in plains, originally settled from Yowo-Ta; surnames Guindo, Seguema, Amadoumou; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Sogou (near Ende),,,,,,,sɔ̀gú,,,,,,,,,,,,,,,,,,,,,,Bandiagara,,,,,pair of villages in plains; see Sogou-Durkou and Sogou-Tou,,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Sogou-Durkou,,,,,,Durkou,sɔ̀gù-dúrú-kùⁿ,14.139,-3.468,0.619,0.144,8.0,28.0,08.619,28.144,14,03,14 08.619,03 28.144,,,,,,,14 08.619,03 28.144,Dogon project,Bandiagara,,,,,"village in plains, split off from Sogou-Tou; surname Guindo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Sogou-Tou,,,,,,Sogou,sɔ̀gù-tú:,14.153,-3.488,0.352,0.526,9.0,29.0,09.352,29.526,14,03,14 09.352,03 29.526,,,,,,,14 09.352,03 29.526,Dogon project,Bandiagara,,,,,"village in plains at base of a small rocky hill, originally settled from Ende; surname Guindo; farming and herding [see also Sogou-Durkou]",,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Sokora,,,,,,Sokora,,14.086,-3.487,0.316,0.437,5.0,29.0,05.316,29.437,14,03,14 05.316,03 29.437,,,,,,,14 05.316,03 29.437,Dogon project,Bandiagara,,,,,village in plains on main road east of Bankass,,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Topri,,,,,,Topri,tùpírì,13.969,-3.324,0.251,0.739,58.0,19.0,58.251,19.739,13,03,13 58.251,03 19.739,,,,,,,13 58.251,03 19.739,Dogon project,Tougan,,,,,village in plains; surname Guindo; farming and herding,,,,,,
,Dogon,,Tengou Kan,,dtk,Tengou Kan,,MLI,Yawakanda,,,,,,Yawakanda,,14.355,-3.683,0.5,,21.0,41.0,21.5,41,14,03,14 21.5,03 41,,,,,14 21.5,03 41,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tengou Kan,,dts,Worou Kan,,MLI,Atemou,,,,,,,"àtɛ̂m (""traditional custom"")",14.242,-3.226,0.963,0.94,14.0,13.0,14.963,13.940,14,03,14 14.963,03 13.940,,,,,,,14 14.963,03 13.940,Dogon project,Bandiagara (not shown),,,,,"village in plains, originally settled from Wol; surname Poudiougo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dts,Worou Kan,,MLI,Douna (Worou Kan),,,,,,Douna,"dùnâ:, dùnà: mǎ [term used by outsiders]",14.183,-3.187,0.006,0.414,11.0,11.0,11.006,11.414,14,03,14 11.006,03 11.414,,,,,14 11,03 11,14 11.006,03 11.414,Dogon project,Bandiagara,"majority Worou Kan, also some Guiwri Kan",,,,"village in plains; Poudiougo (majority), Sagara; protestant church; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Nema,,,,,,,né:má,14.023,-3.14,0.694,0.686,1.0,8.0,01.694,08.686,14,03,14 01.694,03 08.686,,,,,,,14 01.694,03 08.686,Dogon project,Bandiagara (not shown),"Worou Kan dominant but Guindo speak Tengou Kan, Sagara speak Guiwri Kan",,,,"village in plains; surnames Poudiougo (majority), Guindo, Sagara; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Ogodourou-Koun,,,,,,,ɔ̀gɔ̀-dùrù-kûⁿ,14.171,-3.106,0.471,0.647,10.0,6.0,10.471,06.647,14,03,14 10.471,03 06.647,,,,,,,14 10.471,03 06.647,Dogon project,Bandiagara (not shown),"majority Worou Kan, also some Guiwri Kan",,,,"village in plains, some distance from Ogodourou-Na; settled out of Wol; Poudiougo (majority), some Sangarama and Togo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Ogodourou-Na,,,,,,Ogodourou,"ɔ̀gɔ́-dúrú, ɔ̀gɔ̀-dùrù-nâ:",14.22,-3.119,0.346,0.275,13.0,7.0,13.346,07.275,14,03,14 13.346,03 07.275,,,,,,,14 13.346,03 07.275,Dogon project,Bandiagara,"majority Worou Kan, also some Guiwri Kan",,,,"village in plains, settled out of Wol; Poudiougo (majority), some Sagara; Protestant church; farming and herding [see also Ogodourou-Koun]",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Souan,,,,,,Souan,súwⁿɔ̀,14.236,-3.108,0.36,0.836,14.0,6.0,14.360,06.836,14,03,14 14.360,03 06.836,,,,,14 13,03 07,14 14.360,03 06.836,Dogon project,Bandiagara,"majority Worou Kan, also some Guiwri Kan and a little Togo Kan",,"Friday, local",,"village in plains, originally settled from Wol; surname Poudiougo (majority), some Togo and Sagara; Protestant church; farming and herding; gardens (papaya, tomato, etc.)",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Tere,,,,,,,té:ré,14.1,-3.126,0.044,0.983,6.0,7.0,06.044,07.983,14,03,14 06.044,03 07.983,,,,,,,14 06.044,03 07.983,Dogon project,Bandiagara (not shown),"Tengou Kan dominant (Guindo surname), also Gourou (Niangali), Worou Kan (Poudiogo), Guiwri Kan (Sagara), and Mossi (Kento)",,,,"village in plains; surnames Guindo (majority), Niangali (chiefly family), Poudiougo, Sagara, Kento (Mossi)",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Tourou,,,,,,Tourou,tú:rú,14.2,-3.123,0.089,0.687,12.0,7.0,12.089,07.687,14,03,14 12.089,03 07.687,,,,,,,14 12.089,03 07.687,Dogon project,Bandiagara,"majority Worou Kan, also some Guiwri Kan",,,,"village in plains; surname Poudiougo (majority), some Sagara; Protestant church; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Wol-Anakanda,,,,,,Wol-Anakanda,"ànà-kàná, wɔ̀:rù ànà-kàná",14.189,-3.42,0.578,0.362,11.0,25.0,11.578,25.362,14,03,14 11.578,03 25.362,,,,,14 11,03 25,14 11.578,03 25.362,Dogon project,Bandiagara,,,,,"village in plains among dune ridges, part of Woro (Wol) cluster; surname Poudiougo; farming and herding; mud-brick dwellings reddish",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Wol-Leye,,,,,,Wol-Maoundé,wɔ̀:rù-lê:,14.185,-3.424,0.247,0.818,11.0,25.0,11.247,25.818,14,03,14 11.247,03 25.818,,,,,14 11,03 26,14 11.247,03 25.818,Dogon project,Bandiagara (not separately named),,,,,"village in plains on stable dune top, part of Woro (Wol) cluster; surname Poudiougo; Protestant church; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Wol-Sanaboubou,,,,,,,wɔ̀:rù-sá:rⁿá-bú:bù,14.166,-3.454,0.018,0.405,10.0,27.0,10.018,27.405,14,03,14 10.018,03 27.405,,,,,,,14 10.018,03 27.405,Dogon project,Bandiagara (not separately named),,,,,village in plains among dune ridges; surname Poudiougo; farming and herding,need photo,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Wol-Tigueri,,,,,,Woro,wɔ̀:rù-tìgɛ́ríⁿ,14.175,-3.442,0.898,0.952,10.0,26.0,10.898,26.952,14,03,14 10.898,03 26.952,,,,,,,14 10.898,03 26.952,Dogon project,Bandiagara (not separately named),,,,,"village in plains on stable dune top near a small rocky hill, part of Woro (Wol) cluster; surname Poudiougo; farming and herding",,,,,,
,Dogon,,Tengou Kan,,dtk,Worou Kan,,MLI,Woro (aka Wol),,,,,,Woro,wɔ́:rú,14.183,-3.45,,,11.0,27.0,11,27,14,03,14 11,03 27,,,,,14 11,03 27,,,map,Bandiagara,,,,,cluster of villages in plains with dune ridges not far from cliffs,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Beri (Biri),,,,,,Beri,bìlì,14.783,-3.616,,,47.0,37.0,47,37,14,03,14 47,03 37,,,,,14 47,03 37,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Boui,,,,,,Boui,bùrù,14.85,-3.733,,,51.0,44.0,51,44,14,03,14 51,03 44,,,,,14 51,03 44,,,map,Bandiagara,,,,,"village on plains at base of cliffs; surnames Bassaga, Bassely, Yanogo, Bakandia, Kouba, Guindo, Dolo, Dicko; school",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Damagari,,,,,,Damagari,dáŋálí,14.8,-3.716,,,48.0,43.0,48,43,14,03,14 48,03 43,,,,,14 48,03 43,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Degui (Digi),,,,,,Dégui,déjí,14.817,-3.6,0.064,0.078,49.0,36.0,49.064,36.078,14,03,14 49.064,03 36.078,,,,,14 49,03 36,14 49.064,03 36.078,Dogon project,Bandiagara,,,,,village on plateau near low stone ridge; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Djigui,,,,,,Djigui,jigi (?),14.77,-3.656,0.357,0.607,46.0,39.0,46.357,39.607,14,03,14 46.357,03 39.607,,,,,14 46,03 40,14 46.357,03 39.607,Dogon project,Bandiagara,,,,,village on plateau; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Dougo,,,,,,Dougo,dùgò,14.804,-3.692,0.441,0.884,48.0,41.0,48.441,41.884,14,03,14 48.441,03 41.884,,,,,14 48,03 42,14 48.441,03 41.884,Dogon project,Bandiagara,,,,,village on plateau; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Embali,,,,,,Emmbari,,14.7,-3.733,,,42.0,44.0,42,44,14,03,14 42,03 44,,,,,14 42,03 44,,,map,Bandiagara,,,,,"partially abandoned village near Nefari, said to be the third oldest Tiranige speaking village after Sora and Pandali",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Gourari,,,,,,Gourari,gúlálí,14.82,-3.684,0.382,0.113,49.0,41.0,49.382,41.113,14,03,14 49.382,03 41.113,,,,,14 49.5,03 41,14 49.382,03 41.113,Dogon project,Bandiagara,,,,,village on plateau; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Guimari,,,,,,Guimari,jímálí,14.803,-3.675,0.337,0.921,48.0,40.0,48.337,40.921,14,03,14 48.337,03 40.921,,,,,14 48,03 41,14 48.337,03 40.921,Dogon project,Bandiagara,,,,,village on plateau; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Keti,,,,,,Kéti,kérí,14.817,-3.683,0.079,0.055,49.0,41.0,49.079,41.055,14,03,14 49.079,03 41.055,,,,,14 46,03 42,14 49.079,03 41.055,Dogon project,Bandiagara,,,,,village in rocky area in plateau; surname Dicko,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Korenndiou,,,,,,Korenndiou,délí,14.85,-3.7,,,51.0,42.0,51,42,14,03,14 51,03 42,,,,,14 51,03 42,,,map,Bandiagara,,,,,"small village on plains at base of cliffs, originally settled from Boui and from Damagari",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Nefari,,,,,,Nefari,nɛ̀wàlí,14.716,-3.733,,,43.0,44.0,43,44,14,03,14 43,03 44,,,,,14 43,03 44,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Neou,,,,,,Néou,nɛ̀:,14.733,-3.7,,,44.0,42.0,44,42,14,03,14 44,03 42,,,,,14 44,03 42,,,Dogon project,Bandiagara,,,,,village on rocky hill in rugged part of plateau; surname Dicko; map shows different location,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Ningo,,,,,,Ninggo,ìŋì,14.833,-3.633,,,50.0,38.0,50,38,14,03,14 50,03 38,,,,,14 50,03 38,,,map,Bandiagara,,,Wednesday,,"village on plains at base of cliffs; surnames Bakendia, Dicko",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Pandali (abandoned),,,,,,,pandali (?),,,,,,,,,,,,,,,,,,,,,,,,,,,"abandoned village near Guimari, said to be the second oldest Tiranige speaking village after Sora; founding family Pandali",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Semo,,,,,,Sémo,sémá,14.733,-3.766,,,44.0,46.0,44,46,14,03,14 44,03 46,,,,,14 44,03 46,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Some,,,,,,Somé,sɔ̀mɛ̀yà,14.733,-3.633,,,44.0,38.0,44,38,14,03,14 44,03 38,,,,,14 44,03 38,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Sora (abandoned),,,,,,,so:ra (?),,,,,,,,,,,,,,,,,,,,,,,,,,,"abandoned village (near Tanga), said to be the oldest Tiranige speaking village",,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Tanga,,,,,,Tanga,táŋgá:,14.807,-3.64,0.742,0.691,48.0,38.0,48.742,38.691,14,03,14 48.742,03 38.691,,,,,14 48,03 39,14 48.742,03 38.691,Dogon project,Bandiagara,,,,,village on rocky plateau in two nearby sections; surnames Dicko and Bassely,,,,,,
,Dogon,,Tiranige,Duleri,,Tiranige,,MLI,Toumba,,,,,,Toumba,tùmbà:,14.8,-3.6,,,48.0,36.0,48,36,14,03,14 48,03 36,,,,,14 48,03 36,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Barakana (Tansogou),,,,,,,"bàrà kàná (""Bara new""), tàⁿ-sɔ́gù, tàⁿ-sɔ̀gù kàná (""Tansogou new"")",13.786,-3.42,0.349,0.383,47.0,25.0,47.349,25.383,13,03,13 47.349,03 25.383,,,,,,,13 47.349,03 25.383,Dogon project,Tougan (not shown),,,,,village in plains (with two names); surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Ganaguenekouro,,,,,,Ganaguénékouro,gàná-gírⁿí-kò:rò,13.84,-3.333,0.76,0.008,50.0,20.0,50.760,20.008,13,03,13 50.760,03 20.008,,,,,,,13 50.760,03 20.008,Dogon project,Tougan,,,,,village in plains; surnames Togo and Guindo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Gandourou,,,,,,Gandourou,gà:ⁿ-dúrú,13.875,-3.275,0.925,0.855,52.0,16.0,52.925,16.855,13,03,13 52.925,03 16.855,,,,,,,13 52.925,03 16.855,Dogon project,Tougan,"Togo Kan dominant, also some Mossi, Worou Kan",,"Sunday, local",,"village in plains; surnames Togo (majority), plus Wedarago, Warme, Sanou, and Sawadogou (all Mossi), and a few Sagara (Guiwri Kan) and Poudiougo (Worou Kan); Catholic church",,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Ginassogou,,,,,,Guéressogou,gìrⁿá-sɔ́gù,13.905,-3.283,0.5,,54.0,17.0,54.5,17,13,03,13 54.5,03 17,,,,,13 54.5,03 17,,,map,Tougan,,,,,,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Gouroussinde,,,,,,Gouroussindé,gùrùséndé,13.887,-3.321,0.414,0.45,53.0,19.0,53.414,19.450,13,03,13 53.414,03 19.450,,,,,,,13 53.414,03 19.450,Dogon project,Tougan,"Togo Kan dominant, some Fulfulde",,,,"village in plains; surnames Togo (majority) and a few Guindo, also Bari and Boli (Fulbe) in a separate neighborhood, and some Ngadiaka (sɛgɛm caste); farming and herding",,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Kanama,,,,,,Kanama,kánúwá,13.974,-3.316,0.804,0.028,58.0,19.0,58.804,19.028,13,03,13 58.804,03 19.028,,,,,,,13 58.804,03 19.028,Dogon project,Tougan,,,,,village in plains; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Koroma-Tintin,,,,,,,kòròmà-tíⁿtíⁿ,13.833,-3.421,0.02,0.453,50.0,25.0,50.020,25.453,13,03,13 50.020,03 25.453,,,,,,,13 50.020,03 25.453,Dogon project,Tougan (not shown),,,,,village in plains; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Sansogou,,,,,,Sansogou,sàⁿ-sɔ́gú,13.856,-3.407,0.669,0.705,51.0,24.0,51.669,24.705,13,03,13 51.669,03 24.705,,,,,,,13 51.669,03 24.705,Dogon project,Tougan,also some Tomo Kan speakers,,,,village in plains; surnames Togo (majority) and Guindo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Sodougara,,,,,,Sodougara,sòrò-gàrá,13.785,-3.423,0.215,0.673,47.0,25.0,47.215,25.673,13,03,13 47.215,03 25.673,,,,,,,13 47.215,03 25.673,Dogon project,Tougan,,,,,village in plains; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Tansogou,,,,,,Tansogou,tɛ̀ⁿ-sɔ̀gú,13.884,-3.387,0.074,0.394,53.0,23.0,53.074,23.394,13,03,13 53.074,03 23.394,,,,,,,13 53.074,03 23.394,Dogon project,Tougan,,,,,village in plains; surname Togo; farming and herding [see also Birekana],,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Tena,,,,,,Téna,tènâ:,13.851,-3.369,0.118,0.24,51.0,22.0,51.118,22.240,13,03,13 51.118,03 22.240,,,,,13 51,03 23,13 51.118,03 22.240,Dogon project,Tougan,"Togo Kan dominant, also some Mossi and Nongo Kan",,,,"village in plains; surnames Togo (majority), a few Wedarago (Mossi) and Darabo (nɔ́ŋɔ̂-m); Catholic church; farming and herding; extensive gardens next to village (papaya, màsà-kɔ́gɔ́)",,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Toroli,,,,,,Toroli,tóról,13.921,-3.22,0.51,0.348,55.0,13.0,55.510,13.348,13,03,13 55.510,03 13.348,,,,,13 56,03 13,13 55.510,03 13.348,Dogon project,Tougan,,,"Monday, regional",,village in plains; surname Togo; Protestant church; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Tene Kan,,MLI,Toroli-Douna,,,,,,,"tóról-dùnâ:, dùnâ:",13.904,-3.171,0.445,0.523,54.0,10.0,54.445,10.523,13,03,13 54.445,03 10.523,,,,,,,13 54.445,03 10.523,Dogon project,Tougan (not shown),,,,,village in plains; surnames Togo and Guindo; farming and herding [distinct and distant from Douna at N 14 11 x 03 11 W],,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Adakaoura,,,,,,Adakaoura,àná-kàrúwà,14.105,-3.366,0.5,,6.0,22.0,06.5,22,14,03,14 06.5,03 22,,,,,14 06.5,03 22,,,map,Bandiagara,,,,,village in plains [see also Adakaoura-Fulbe for separate Fulbe section]; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Amadou-Badou-Ana,,,,,,,àmàdù-bádù ánà,14.252,-3.323,0.23,0.701,15.0,19.0,15.230,19.701,14,03,14 15.230,03 19.701,,,,,,,14 15.230,03 19.701,Dogon project,Bandiagara (not shown),,,,,"village in plains, part of Orokoro cluster (otherwise Guiwri Kan speaking), original settlers mostly from Koporo-Pe; surnames Togo (majority) and Sagara; farming and herding",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Amamounou,,,,,,,ámá-mùrⁿù,,,,,,,,,,,,,,,,,,,,,,,,,,,"global name for a cluster of 5 villages: Amamounou-Koun, Amamounou-Boro, Amamounou-Doungo, Orosogou, Anakaga",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Amamounou-Boro,,,,,,,"àmàmùrⁿù-bɔ̀rɔ́ (""... lower"")",14.222,-3.257,0.548,0.769,13.0,15.0,13.548,15.769,14,03,14 13.548,03 15.769,,,,,,,14 13.548,03 15.769,Dogon project,Bandiagara (not shown),,,,,"village in plains, part of Anamounou cluster; surname Togo; farming and herding",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Amamounou-Doungo,,,,,,,"àmàmùrⁿù-dùŋɔ́ (""... upper"")",14.222,-3.252,0.58,0.201,13.0,15.0,13.580,15.201,14,03,14 13.580,03 15.201,,,,,,,14 13.580,03 15.201,Dogon project,Bandiagara (not shown),,,,,"village in plains, part of Anamounou cluster; surname Togo; farming and herding",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Amamounou-Koun,,,,,,,àmàmùrⁿù-kûⁿ,14.218,-3.239,0.155,0.632,13.0,14.0,13.155,14.632,14,03,14 13.155,03 14.632,,,,,,,14 13.155,03 14.632,Dogon project,Bandiagara (not shown),,,,,"village in plains, part of Anamounou cluster; surname Togo; farming and herding",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Ana-Odiou,,,,,,,"ànà-ójù (""village-road"")",14.235,-3.341,0.259,0.792,14.0,20.0,14.259,20.792,14,03,14 14.259,03 20.792,,,,,,,14 14.259,03 20.792,Dogon project,Bandiagara (not shown),,,,,village in plains; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Anabene,,,,,,,àná bɛ́rⁿɛ́,14.237,-3.287,0.387,0.438,14.0,17.0,14.387,17.438,14,03,14 14.387,03 17.438,,,,,,,14 14.387,03 17.438,Dogon project,Bandiagara (not shown),,,,,"village in plains, originally settled from nearby Koporo-Pe; surname Togo; farming and herding [see also Ana-Bene-Dorou]",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Anabene-Dorou,,,,,,,"ànà-bɛ̀rⁿɛ̀ dɔ́:rú (""... off.to.side"")",14.235,-3.288,0.215,0.504,14.0,17.0,14.215,17.504,14,03,14 14.215,03 17.504,,,,,,,14 14.215,03 17.504,Dogon project,Bandiagara (not shown),,,,,small village split off from Anabene; surname Togo; farming and herding,,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Anakaga (Amamounou),,,,,,,"ànà-kágà, àmàmùrⁿù-ànà-kágà",14.22,-3.25,0.399,0.017,13.0,15.0,13.399,15.017,14,03,14 13.399,03 15.017,,,,,,,14 13.399,03 15.017,Dogon project,Bandiagara (not shown),,,,,"village in plains, part of Anamounou cluster; surname Togo; farming and herding",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Anamouila-Kana (Togo Kan),,,,,,,"ànàmùlà kàná (""Anamouila new"")",14.039,-3.304,0.636,0.476,2.0,18.0,02.636,18.476,14,03,14 02.636,03 18.476,,,,,,,14 02.636,03 18.476,Dogon project,Bandiagara (not shown),,,,,"village in plains, rather far from Amamouila-Pe near Koporo-Na; surname Togo; farming and herding [distinct from Anamouila-Kana (Toro So)]",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Anamouila-Pe (Togo Kan),,,,,,Anamouila,ànàmùlà pɛ̌ⁿ,14.12,-3.359,0.419,0.91,7.0,21.0,07.419,21.910,14,03,14 07.419,03 21.910,,,,,,,14 07.419,03 21.910,Dogon project,Bandiagara,,,,,"village in plains; surname Togo; farming and herding [see also Anamouila Kana (Togo Kan), which is rather distant] [distinct from Anamouila-Pe (Toro So)]",,,,,,
,Dogon,,Togo Kan,,,Togo Kan,,MLI,Andiono-Ana,,,,,,,ànjó:nó ánà,14.219,-3.272,0.316,0.566,13.0,16.0,13.316,16.566,14,03,14 13.316,03 16.566,,,,,,,14 13.316,03 16.566,Dogon project,Bandiagara (not shown),,,,,small village in plains between Koporo-Pe and Samani; originally settled from Koporo-Pe; surname Togo; farming and herding,,,,,,
