code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So,Tomo Kan (Segue),Tomo Kan (Diangassagou),"Tommo So (Tongo Tongo, combined)","Tommo So (Tongo Tongo, JH)",,"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,family,book p.,synonymy,comment,domain,specimen
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,3,,,60313,,,2011,,"cetonid beetle sp., dark with orange margin, in tree flowers","cétoïne (coléoptère) de couleur foncée avec une marge orange, dans les fleurs d'arbres",,,,,,,"yà:ŋà-nɔ̂: ~ cì-cɛ̀: yà:ŋà-nɔ̂: (roughly ""look-drink"")",,,,,,kɛ̀:-búⁿ,,,"yòròⁿ cì-cɛ̀: bâwⁿ (""stranger beetle red"")",,"bènjù-[kɛ̀ɛ̀ⁿ-kɛ̀ɛ́ⁿ] (""seer-beetle"")",,bìlím kɛ́:kɛ̂:,,,,ólóndé = ólóndó\\ólóndú-mbó,,,sè:ŋgè kɛ́:gɛ̀  ,,,,,,"kó:mbɛ̀ túmbɛ́-sɛ̀ⁿ (""beetle-messenger"", because of buzzing sound)",,,,"hàynì-[gà-gǎm] (""millet-beetle"")",,Pachnoda marginata,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",2008_006
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,6,,,60314,,,2011,,black and white cetonid beetle sp. (in spikes of millet),cétoîne (coléoptère) noire et blanche sp. (dans les épis de mil),,,"cì-cɛ̀: nɔ̂:-m\\nɔ̂: (""beetle drink"")",,kɛ̀-nɔ̂:,,,kɛ̀-kɛ̀: bálɛ̀,,,,,,,,,,,,,,,,òlòndò gɛ́mɛ̀\\gɛ̂:-mbò,,,,,,,,,,,,,,,Pseudoprotaetia stolata,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",2006_010 [check]
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,4,,,60315,,,2011,,"cetonid beetle sp., dark green with white streaks and spots, in sheath in ground (said to eat acacia flowers)","cétoîne (coléoptère) sp., vert foncé avec traits et taches blanches, porteur d'un fourreau dans le sol (mangerait les fleurs d'acacia)",,,"bísěm cí-cɛ̀:-m\\cí-cɛ̀: (""acacia's beetle""), cì-cɛ̀: nɔ̂:-m\\nɔ̂: (""beetle drink"")",,"bìsíyêm kɛ̀-kɛ̀: (""Acacia tortilis' beetle"")",,,kɛ̀-kɛ̀: gòróm-gǒmjò,,,,,kɛ̀:-búⁿ,,,"yòròⁿ cì-cɛ̀: jɔ̂wⁿ (""stranger beetle black"")",,kéjù kùmúɲjù,,,,"tìmá: cɛ̀gɛ̀ (""tree beetle"")",,òlòndò kérà:\\kérà:-mbò,,sà: kɛ́:gɛ̀,sà: kɛ́:gɛ̀  ,kɛ́wⁿɛ́ tómbò,ké:wé tómbò,,,,,,,,,,Rhabdotis sobrina,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)","2006_033, 2006_012"
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,10,,,60278,,,2011,,cetonid beetle on karite fruit (black with red spots),cétoine sur le karité (noire à taches rouges),,,,,,,,mìsú wà kɛ̀-kɛ̌:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",2010_044
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,8,,,60673,,,2011,,gourd-plant eating beetle,"cétoîne (coléoptère) sp. noirIâtre avec des taches brunes foncé, nuisible aux calebassier (plante qui donne les gourdes)",,,kɔ̀sû: cì-cɛ̀:-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"à-kò:mbɛ̀ píyⁿɔ̂:y (""beetle stinks""), à-gìmɛ̀-ŋ-kó:mbɛ̀ (""calabash-beetle"")",,,,,,,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",2001_012
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,9,,,60677,,,2011,,brown bug on flowers of calabash plant (Lagenaria),punaise brune foncé sur les fleurs du calebassier (Lagenaria),,,,,,,,,,,,,,,,,,gàbá kɛ̀ɛ̀ⁿ-kɛ̀ɛ̀ⁿ,,,,,,,,,,"kòrìyé kɛ̀wɛ̀ (""calabash beetle"")",,,,,,,,,,,,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",2011_012 (Beni)
fauna,"insect (beetle, cetonid)",faune,"insecte (coléoptère, cétoine)",201,38,11,,,60684,,,2011,,cetonid beetles (various),cétoines (plusieurs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sànà-kábálà,,,,,,,,,"Coleoptera, Scarabaeidae, Cetoniinae",,,,"fauna (insect, beetle/bug)",
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,3,,,60292,,,2011,,rhinoceros beetle (male with horn),coléoptère dynastide (le mâle possède une corne),,,"nà:-sùwɔ́ cí-cɛ̀:-m\\cí-cɛ̀: (""cow-shit's beetle"")",,"pà:ŋgǒ: kɛ́-kɛ̂: (""elephant's beetle"", due to shape)",,,líw kɛ́-kɛ̂:,,,,,,,,,,bìlǐm kɛ̀ɛ̀ⁿ-kɛ̀ɛ̀ⁿ,,bìlím kɛ̀ɛ̀n-kɛ̀ɛ̀n,,,,"kɛ̀kɛ̀bɛ̀ kɛ̀lɛ̀-gɛ́:\\kɛ̀kɛ̀bɛ̀-mbò kɛ̀lɛ̀-gá:, kɛ̀kɛ̀bɛ̀ dìnàdínà","gùŋgù kɛ́:lɛ́-ŋgá (""... horned"")",,,ògú kɛ̀wɛ̀,ɔ́gú  ké:wè,,,,,,,,,,Phyllognathus burmeisteri,"Coleoptera, Scarabaeidae, Dynastinae",,,male has rhinoceros-like horn,"fauna (insect, beetle/bug)","2005_073, 2006_035"
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,4,,,60628,,,2011,,orange-colored scarab beetle,coléoptère scarabée de couleur orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anomala plebeja,"Coleoptera, Scarabaeidae, Rutelinae",,,,"fauna (insect, beetle/bug)",
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,2,,,60316,,,2011,,dung beetle sp. (scarabaeid),bousier sp. (coléoptère scarabée),,cɛcɛ̀ bɔ̀sɔ̀-míŋgúrú-nú,,,,,"[cì-cɛ̀:]-[bɛ̀:-[bɛ̀ɲùrⁿ-ú]] (""beetle [shit-roll]"")",,,,,"[kì-kɛ̀:]-[bɔ̀jɔ̀-dúwɛ́:-nɛ́] (""beetle-[excrement-carry,Agent]"")",,,,,,,,,kɛ̀:-kɛ̀: sùgɔ́ dúndúlúm,,,,,sùgɔ̀ kɛ́:gɛ̀,sùgɔ̀ kɛ́:gɛ̀  ,,,,,,,,,,,,Allogymnopleurus aeneus,"Coleoptera, Scarabaeidae, Scarabaeinae",,,,"fauna (insect, beetle/bug)",2005_004
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,5,,,60309,,,2011,,very large dung beetle sp.,très gros bousier sp.,,bírígí cɛ̀cɛ̀,,,,,,,,,,,,,,,,,,míɲɛ̀,,,,,,,,,,,,,,,,,,,,"Coleoptera, Scarabaeidae, Scarabaeinae",,,,"fauna (insect, beetle/bug)",seen 2006 Douentza
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,1,,,60317,,,2011,,"dung beetle (scarabaeid, any sp.)","bousier (coléoptère scarabée, toutes espèces)",,,"cì-cɛ̀: sùwɔ̀-dùlùrú-m\\dùlùrú (""beetle shit-roll"")",kɛ̀kɛ̀: sùwà-dǔ-m,"sùgɔ́ kɛ́-kɛ̂: (""shit's beetle"")",,,kɛ̀-kɛ̀: bɛ̀:-dùlùrú,kì-kɛ̀: bɛ́: bìsìrⁿɛ́,,kɛ̀kɛ̀: bɛ̀:-[dúw-ɛ́:],,kì-kɛ̀: bɔ̀jɔ̀-dúnɔ́rⁿɔ̀ŋ,bédè kɛ̀:-kɛ:,"cì-cɛ̀ byɛ̀:-[dúʔúnú-má] (""shit-[roll-cause]"")","cì-cɛ̀: bìyɛ́-dòŋgòlò-mâ: (""beetle shit-roller"")",,dònó-màŋù-màŋù,,kɛ̀ɛ̀n-kɛ̀ɛ̀n bɔ̀dɔ̀ dùyyú,,sùgá: cɛ̀gɛ̀,cɛ̀gɛ̀ sùwà-dì:,"sùgɛ́-dùndùlò-dúndùlò, sùgɛ́-dùndùlè-dúndùlè\\sùgɛ́-dùndùl-dúndùl-mbò",gúŋgú sùgɔ́,,,súgɔ́ kɛ́:wɛ̀,súgɔ́ ké:wè,xxx,bòmà:-wǐl,,bìyɛ̀-ŋ-kó:mbɛ̀,,,"wùrì-jìŋgìr-íyà (""shit-shape.into.balls-Dimin"")","wùrì-[gà-gǎm] (""shit-beetle"")",,,"Coleoptera, Scarabaeidae, Scarabaeinae",,,,"fauna (insect, beetle/bug)",
fauna,"insect (beetle, scarab)",faune,"insecte (coléoptère, scarabe)",201,39,6,,,60318,,,2011,,reddish nocturnal scarabeid beetle sp.,coléoptère scarabée nocturne rougeâtre sp.,,,,,"dɛ̀:ndɛ̀-go᷈: kɛ̀-kɛ̀: (""night-fire's beetle"")",,,kɛ̀-kɛ̀: gòrǒm-gǒmjò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coleoptera, Scarabaeidae, Scarabaeinae",,,,"fauna (insect, beetle/bug)",2010 spcm
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,4,,,60319,,,2011,,darkling beetle sp.,coléoptère ténébrionide sp.,,,,,,,,,,,,"tèw-[kì-kɛ̌:] (""raptor-beetle"", also Pimelia)",,,,,,,,,,,,,,,,,,,,,kó:mbɛ̀ pɔ́:rɛ̀,,,,,,Amenophis transversalis,"Coleoptera, Tenebrionidae",,,,"fauna (insect, beetle/bug)",2008_004
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,7,,,60320,,,2011,,small darkling beetle sp. in grass,petit coléoptère ténébrionide dans l'herbe,,,,,"[lɛ̀:gɛ̀ kû:-dúgî] kɛ̀-kɛ̀: (""Dactyloctenium's beetle""), lɛ́:gɛ̀ kɛ̀-kɛ̀:",,,dá:ŋgèy kɛ̀-kɛ̀:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coleoptera, Tenebrionidae",,,,"fauna (insect, beetle/bug)",2006_038
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,5,,,60321,,,2011,,round darkling beetle sp.,coléoptère ténébrionide rond sp.,,,,xxx [collected there],"sɛ́:rⁿɛ̀ [kɛ̀-kɛ̀: bàjɔ̀gɔ̀] ""plains [beetle father-ruin]"")",,,,,,,"tèw-[kì-kɛ̌:] (""raptor-beetle"", also Amenophis)",,,,,,,,,,bàràŋgá cɛ̀gɛ̀ (also Pimelia),,,,,,,,,,,,,,,,,Pimelia grandis,"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)",2006_067
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,6,,,60322,,,2011,,darkling beetle sp. in hills,coléoptère sp. des collines,,,,,"ò:rò-ké:mbí (""hyrax-tick"")",,,ké-kérè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pogonobasis sp.,"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)",2005_065
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,3,,,60323,,,2011,,black darkling beetle sp. in ravines,coléoptère ténébrionide noire sp. dans les ravins,,,"cì-cɛ̀: kɔ́gɔ́rɔ́-m\\kɔ́gɔ́rɔ́ (""beetle remove.bark"")",,,,,,,,,,,,,,,,,,,bàràŋgá cɛ̀gɛ̀ (also Pimelia),,,,,,,,,,,kó:mbɛ̀ pɔ́:rɛ̀,,,,,,Thalpophila schweinfurthi carinifrons,"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)","2006_008, 2008_003"
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,2,,,60324,,,2011,,darkling beetle sp. in houses,coléoptère ténébrionide noirâtre dans les maisons,,tɛ̀má kùsúbà,"cì-cɛ̀: kɔ́gɔ́rɔ́-m\\kɔ́gɔ́rɔ́ (""beetle remove.bark"")",kɛ̀kɛ̀: gúmbúrɛ́-m,"kɛ̀-kɛ̀: bà-jɔ̀gɔ́ (""beetle father-ruin"", cf. jɔ̀gɔ́ 'shatter')",,"cì-cɛ̀: gúmúrⁿó (""beetle ..."")",kɛ̀-kɛ̀: bàjɔ́gú,kì-kɛ̀: gómtòlò,,kɛ̀kɛ̀: gìrèmú,kì-kɛ̀: gùmɔ̀lɔ́,ki-kɛ̀: gúmɔ́rⁿɔ́,síbùrù-nà:-dɛ̀ŋkìlɛ́,,,,òrù-màà-órú,,nɛ̀mɛ̀ gèmmú,kɛ̀:-kɛ̀ gúmúlgɛ́,cɛ̀gɛ̀ gùmbá,bò:rò,kɛ̀kɛ̀bɛ̀ kùlɛ̀-gɛ́:\\kɛ̀kɛ̀bɛ̀-mbò kùlà-gá:,"yé:-gé èlá (""women's co-wife"")",cɛ̀:gɛ̀ wɛ́rɛ́dɛ́,,kɛ́wɛ́-kórò,ké:wé kórò,,,,,,,,"kúbéy-yⁿâ: (""darkness-mother"", also cricket)",,Trachyderma hispida,"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)",2004_003
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,1,,,60325,,,2011,,small light-brown darkling beetle that eats grains on ground (and plays dead),petit coléoptère ténébrionide brun clair qui mange les graines à terre (et fait semblant d'ê. mort),,"dógúm-núwⁿěy, dógúrú-núwⁿěy","tâw-jɛ́njɛ́y-m\\-jɛ́njɛ́y (""touch-stop.moving"")",kɛ̀kɛ̀: kɛ̀ndɛ̀-bàrⁿù-bàrⁿǔ-m,"táw-gɛ́njɛ́y (""touch-stiff"", because it plays dead when disturbed)",,"[cɛ̀nɛ̀-bán]-dà:-gó (""it can't endure anger"")",táw-jɛ́njɛ́y,,,jɔ̀ntúrú kɛ́kɛ̀:,tàbàm-gɛ̀ɲɛ̌yⁿ,ɲí:rɛ̀wⁿ kì-kɛ̀:,"tàbìyà-ŋ kɛ̀ɲɛ́, tàbìyà-ŋ kɛ́ɲɛ̀, tàbìyá-ŋ kɛ̀ɲɛ̂ŋ","tɛ̀bɛ̀-gɛ́ndɛ́ⁿ (""touch-play.dead"")","cì-cɛ̀: tàbà-gɛ̀ndɛ́ⁿ (""beetle touch-die"", because it feigns death)",,tàbìyɛ̀ⁿ-gɛ́ɲɲɛ́yⁿ,,tàbìɛ̀ŋ gɛ́ɛ́ɲíɛ́,tàbìyà-kɛ́ɲù,tāb-jɛ̀ndɛ́yⁿ,tàbìyèŋgéɲɛ̀y,"kɛ̀kɛ̀bɛ̀ mà:ndù-mà:ndìyé, kɛ̀kɛ̀bɛ̀ mà:ndì-gɛ́:\\mà:ndì-gá:",ùgùlù-kúníyé,,,nàndú-gɛ́njɛ́y,nándú génjéy,xxx,nárgénjè,,kɔ́mbɔ́,,,gàŋ-gàm kó:g-íyà [tones],bìɲɲà-bíɲɲà,,Vieta senegalensis,"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)",2004_008
fauna,"insect (beetle, darkling)",faune,"insecte (coléoptère, ténébrionide)",201,40,8,,,60326,,,2011,,firefly,luciole,,cɛ̀cɛ̀ núwⁿɔ́ bàsà,cɛ̌:-bɛ́rⁿíyⁿɛ́-m\\bɛ́rⁿíyⁿɛ́ (refers to sorcerors' night fires),kɛ̀kɛ̀-béyⁿé-m\\béyⁿé,"kɛ̀:-bérê (""lightning.flash-flickering"", cf. kɛ́:, bérém-bérém)",,"cɛ̀m-pɛ́rɲɛ́ (""shut-flicker""), cɛ́m-nùwⁿò-bɛ́rɲɛ́ (Fombori)",kɛ́: béríyé-m,kɛ́: nùwⁿò-bèrⁿê:,,[pɔ̀ŋɔ̀-ɲǎ:]-bèrèmù,ɲǎmbèyⁿ,ɲǎŋ-bì-bɛ̀yⁿ,"írì-ŋ̀ kɛ̀:-kɛ̀: (""blacksmith beetle"")","ɲá:-cɔ́wⁿ (""fire-flash"")","cì-cɛ̀ ɲá:-twê:ⁿ (""beetle night-shine"")",,ɲàŋàmà-bèlém-bèlèm,,,ɲá:mbèⁿ,cɛ̀gɛ́ mɛ̀yⁿ,yàŋámɛ̀mɛ́,bɛ̀mbɛ́\\bɛ̀mbɛ́-mbó,gìyɛ̀-dɛ́:ndɛ̀,ɲámbèwⁿ,,kɛ́wɛ́ nénì,ké:wé nénì,,,,à-kò:mbɛ̀ bírɛ́-sɛ̀ⁿ,,,só:tí,"kùsú-mɛ̀lɛ̂m (""waterjar-flash"")",,Zophosis sp. (cf.),"Coleoptera, Tenebrionidae, Pimeliinae",,,,"fauna (insect, beetle/bug)",2004_038
fauna,insect (bug),faune,insecte (punaise),201,41,4,,,60327,,,2011,,broad-headed bug sp. (insect that eats gourd plante),punaise sp. (mangeur du calebassier),,kàsú cɛ́cɛ̀,"kɔ̀sû: cì-cɛ̀:-m (""calabash's beetle"")",gàmá-lǎ:rà-m,"kɔ̀sî kɛ̀-kɛ̀: (""calabash's beetle"")",,,kàsú kɛ́-kɛ̂:,,,,,,,,,,,,,,,,,,,,kɔ̀jí kɛ́:wɛ́,kɔ̀jí ` ké:wè,,,,wìyɛ̀-ŋ-kó:mbɛ̀ (term not widely known),,,,,,Nariscus sp.,"Hemiptera, Alydidae",,,,"fauna (insect, beetle/bug)",2004_034
fauna,insect (bug),faune,insecte (punaise),201,41,3,,,60328,,,2011,,giant water bug,bélostome (gros insecte aquatique),,cɛ̀cɛ̀ gòŋùnú,"cì-cɛ̀: dɔ̀rɔ̀-kɛ̀sú-m\\-kɛ̀sú (""beetle penis-cutter"")",,"nî: kɛ̀-kɛ̀: (""water's beetle"")",,"búró nɛ́mnɛ̀ (""pond's scorpion"")",àdɔ̀rɔ̀mà-ɛ̀mbú,,,dí: mótàm,bɔ̀lɔ̀-kɔ́:ɲɔ̀ (also Nepidae),,,xxx,,,díí kàbàlà-kààdù,,,,,dɔ̀lɔ̀-pɔ̀ndù,dɔ̀lɛ̀:-[èmbà-émbà]\\dɔ ̀lɛ̀:-[èmbà-émbà-mbò],"mí: ìnì-ìní (""water's scorpion"")",,,mí kɛ̀wɛ̀,mí:` ké:wè,,,,,,,bàŋg-ò háns-ò,mà:mɛ̀-[dì:-dî:] (also dystichid beetle),,Lethocerus sp.,"Hemiptera, Belostomatidae, Belostomatinae",,,,"fauna (insect, beetle/bug)",2005_057
fauna,insect (bug),faune,insecte (punaise),201,41,1,,,60329,,,2011,,"cicada, arboreal winged insect sp. that hums loudly in daytime","cigale, insecte ailé arboricole qui vrombille bruyamment pendant la journée",,"nǒŋ ì-rⁿù (""sun's child"")","ùsú nárⁿà-m\\nárⁿà (""sun's mother"")",,"òsí kɛ́-kɛ̂: (""sun's beetle"", sings at mid-day)",,"[nì-nǐ:]-nâ: (""sun-mother"")",nìní nâ:,,,nùnùŋú ínà:,bò:rǒy (also 'cricket'),nǎynà,nǎnsà,nùnù-náⁿ,"nùnù-ná:ní (""sun-mother"")",,nàá sìì-sìì,,nàá sìì-sìì,bò:ró (also 'cricket'),"údúgú nànà (""sun's mother"")",ìzìgìnàní,sèlèlíyè\\sèlèlíyè-mbò,ìjìmà-sɛ̀nɛ́nɛ̀,,,gɛ̀wⁿɛ́ bè,gé:wé ` bé:,xxx,,,"nɛ́:rɛ̀wⁿ-byɛ̀ (""hot.season-child"")",,,"kónnó-ýz-ò [final long V?] [""heat-child""]",kɔ́rɔ́nsì\\...síy-ǎ:,,Soudaniella seraphina,"Hemiptera, Cicadidae",,,,"fauna (insect, beetle/bug)",
fauna,insect (bug),faune,insecte (punaise),201,41,5,,,60330,,,2011,,"tip wilter bug (leaf-footed bug, legume-eatiing)",punaise sp. qui mange les légumineux,,núm cɛ̀cɛ̀,"nùwⁿî: cì-cɛ̀:-m\\ cì-cɛ̀: (""cowpea's beetle"")",nùmî: gàmàlà:rà-m,"nìmî kɛ̀-kɛ̀: (""cow-pea's beetle"")",,,núm kɛ́-kɛ̂:,,,nǐ kɛ́kɛ̀:,,kɛ̀: kú:ⁿ (various cowpea beetles),,,,,,,kírínní,,"nímɛ̀: cɛ̀gɛ̀ (""cowpea beetle"", also Callosobruchus)",nǐm cɛ̀gɛ̀,"númbé kɛ̀kɛ̀bɛ̀, dòné kɛ̀kɛ̀bɛ̀",gùnú,,,núŋké kɛ́wɛ́,núnké` ké:wè,,,,"ŋyɛ̀-ŋ-kó:mbɛ̀ (""cowpea-beetle"")",,,,dúŋgúrí-[sùn-sǔm],,Anoplocnemus curvipes,"Hemiptera, Coreidae",,,male has curved leg,"fauna (insect, beetle/bug)","2004_006, 2006_065"
fauna,insect (bug),faune,insecte (punaise),201,41,2,,,60331,,,2011,,water scorpion (nepid bug) with long tail,nèpe (insecte aquatique) à longue queue,,,"ìrì-[kɛ̀sí-m] (""breast-cutter"")",,"nî: mɔ̀-mɔ̀rⁿɔ̀ (""water's scorpion"")",,,àdɔ̀rɔ̀mà-ɛ̀mbú,,,dí: ká:,bɔ̀lɔ̀-kɔ́:ɲɔ̀ (also Belostomatidae),dɔ̀:-kɛ᷈:n,"ídù nà (""fish mother"")",xxx,"dóló-bàjâ: (""penis-pull"")",,,,,gɔ̀ndɔ̀-wárà,"ínjé sìrbè (""water knife"")",,,,"mì: cɛ́:gɛ̀ (""water beetle"", one of at least 2)",,mí nǒndò,mí:` nó:ndò,xxx,,,"à-kò:mbɛ̀ cí:ⁿ-cɛ̀:ⁿ (""beetle tail-having"")",,,,,,Laccotrephes fabricii,"Hemiptera, Nepidae",,,,"fauna (insect, beetle/bug)",2006_073
fauna,insect (bug),faune,insecte (punaise),201,41,6,,,60655,,,2011,,flat round bug that eats melon and squash plants,punaise plate ronde sp. qui mange les cucurbitacées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gàŋ-gàm fúmb-ò,gàmbú-lá:rà\\-ǎ:,,,"Hemiptera, Pentatomidae",,,,"fauna (insect, beetle/bug)",
fauna,insect (bug),faune,insecte (punaise),201,41,7,,,60332,,,2011,,cotton stainer (insect),punaise sp.,,,,,,,,,,,,,,,ʔɔ̀rɔ̀bɔ̀rɔ̀-ʔàmbàrá,,,,,,,,,gǎynà\\gàynà-mbò,,,,,,,,,,,,,,,Dysdercus voelkeri,"Hemiptera, Pyrrhocoridae",,,,"fauna (insect, beetle/bug)",2005_082
fauna,insect (bug),faune,insecte (punaise),201,41,8,,,60333,,,2011,,green bug that eats leaves of Combretum glutinosum,insecte vert qui mange les feuilles de Combretum glutinosum,,,"àsàgùsɔ̂: cì-cɛ̀:-m\\cì-cɛ̀: (""Combretum's beetle"")",,"bàrìŋá kɛ́-kɛ̂: (""Combretum glutinosum's beetle"")",,,bàngá kɛ́-kɛ̂:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclogastridea sp.,"Hemiptera, Tessaratomidae",,,,"fauna (insect, beetle/bug)",2005_087
fauna,insect (butterfly),faune,insecte (papillon),201,42,1,,,60334,,,2011,,butterfly,papillon,,pìrè-pírè,òmbó-[pì-pírì-m]\\-[pì-pírì],àlpɛ̂:-m,"sɛ̀wɛ̀-tǐy (""fortune-teller"")",,pí-pìlîm,sɛ̀wɛ̀-kùlú,pì-pírǐm,,pìpírí,pí-pírí,pí-pǐ:lɛ̀,gɔ̀mbù-gɔ̀mbɛ̌y,cí-cíjí (also 'bat'),kí-kìjiⁿ,,"àmbà-bǎy (""God-day"")",,"sɛ̌y, àmbàbǎy",pùndé:-gù jɔ́mbɔ̀,pí-pírù,pì-pírù,pìrù-pìrù-kòmbé,pìlà:-pílì,mɔ́:rɔ̀-sí:njà,mɔ́rɔ̀ sínjà  ,sà gɔ́mbɛ̀gɔ́mbɛ̀,sá:  gɔ́mbɛ́-gɔ́mbɛ̀,,,,"yà:ndɛ́-ŋ-sɥɛ̀: (""children's chicken"")",,,"ʔálf-à: (""holy man"")",bǎ:-fúlà\\-ǎ:,,,Lepidoptera,,,,"fauna (insect, butterfly/moth)",
fauna,insect (butterfly),faune,insecte (papillon),201,42,2,,,60335,,,2011,,"convolvulus hawk-moth (large, makes humming sound)",sphinx du liseron (gros papillon bruyant sp.),,,wîl-wîl ~ wílì-wílì-m\\wílì-wílì,,bìrìrí-bìrìrí (onomatopoeic),,,pìlì-pílì,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrius convolvuli,"Lepidoptera, Sphingidae",,,,"fauna (insect, butterfly/moth)",2006_066
fauna,"insect (cricket, cockroach)",faune,"insecte (grillon, cafard)",201,43,5,,,60337,,,2011,,small reddish cockroach sp. in house,petit cafard rougeâtre dans les maisons,,,"kì-kèrè bárⁿà-m\\bárⁿà (""cricket red"")",gòmbògómbò-m,"kùwòrì bárⁿí (""cricket red"")",,"cì-cère bán (""cricket red"")",,,,,,,,,,,,,,,,,gǎynà\\gàynà-mbò,,,,,,,,,,,,,,,,Blattodea,,,,"fauna (insect, cricket/cockroach)",2005_055
fauna,"insect (cricket, cockroach)",faune,"insecte (grillon, cafard)",201,43,6,,,60338,,,2011,,small cockroach sp. in house,petit cafard sp. dans les maisons,,,"sànjá cí-cɛ̀:-m\\cí-cɛ̀: (""mentruation's beetle"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blattodea,,,,"fauna (insect, cricket/cockroach)",2006_074
fauna,"insect (cricket, cockroach)",faune,"insecte (grillon, cafard)",201,43,7,,,60339,,,2011,,large red cockroach in toilets,gros cafard rouge dans les toilettes,,,,,,,,,,,yɛ̀mbɛ̀rɛ́,,,,,,,kàbàlà-kà:dú,,ɲɛ̀bɛ̀rɛ́ [< Bam],,,,,,,,,,,,,,,,,,,,Blattodea,,,,"fauna (insect, cricket/cockroach)",
