Multilingual,lg family,Language (group),alternate lg (group),Language (based on native name),OfficialVillageName,Transcribed Village Name,N Lat,W Lon,lg comment,industries,weekly market,surnames,social info
,Dogon,Tiranige,Duleri,Tiranige,Pandali (abandoned),pandali (?),,,,,,Pandali (founding family),"abandoned village near Guimari, said to be the second oldest Tiranige speaking village after Sora"
,Dogon,Tiranige,Duleri,Tiranige,Semo,sémá,14.733,-3.754,,,,"Kampo, Dicko, Ongoiba","on small elevation at the edge of an extended flat area on plateau; attend school at Tange; frequent markets at Ningo, Konna, and Fatoma; settled from Konna-Hinde (Old Konna); Ongoiba group came from Najamba area"
,Dogon,Tiranige,Duleri,Tiranige,Sissongo,sisɔŋgo,14.672,-3.722,,blacksmiths,,"Karambe, Tapily, Yanoga (blacksmiths)",village on summit of hill in plateau; no water supply on summit; some have moved down to Sissogo-Misime; settled from Embali
,Dogon,Tiranige,Duleri,Tiranige,Sissongo-Misime,misimɛ,14.659,-3.733,,blacksmiths,,"Karambe, Tapily, Dicko, Guindo, Yanoga (blacksmiths)","satellite village on low plateau below Sissogo; school, small-scale gardening, wells; settled from Sissogo"
,Dogon,Tiranige,Duleri,Tiranige,Some,sɔ̀mɛ̀yà,14.724,-3.638,,,,"Traore, Kampo, Dicko, Karambe (blacksmiths), Degoga (leatherworkers)","large village on high plateau with three satellite villages; gardening; attend school at Biri; moved from abandoned site Some-Djiba, originally settled from Konna-Hinde (Old Konna)"
,Dogon,Tiranige,Duleri,Tiranige,Some-Tamaga,tàmágà,14.723,-3.651,,,,"Traore, Dicko, Garango (leatherworkers)",satellite village of Some on flat area in plateau; small-scale gardening; settled directly from Konna-Hinde at about the same time as Some
,Dogon,Tiranige,Duleri,Tiranige,Some-Kilagui,kìlàgí,14.700,-3.641,,,,"Traore, Dicko",satellite village of Some on flat area in plateau; split off from Some
,Dogon,Tiranige,Duleri,Tiranige,Some-Diamnati,"jamnaati (Fulbe), pɔmbubiya (Tiranige)",14.703,-3.607,,,,Degoga,"small satellite village of Some on elevation in plateau, mangoes in depression nourished by spring water; split off from Some"
,Dogon,Tiranige,Duleri,Tiranige,Sora (abandoned),so:ra (?),,,,,,,"abandoned village (near Tanga), said to be the oldest Tiranige speaking village"
,Dogon,Tiranige,Duleri,Tiranige,Tanga,táŋgá:,14.807,-3.640,,,,"Dicko, Bassely",village on rocky plateau in two nearby sections
,Dogon,Tiranige,Duleri,Tiranige,Toumba,tùmbà:,14.804,-3.589,,,,Dicko,village on high elevation; attend school at Biri or Tanga; some gardening; settled from Konna-Hinde (Old Konna)
,Dogon,Togo Kan,,Tene Kan,Barakana (Tansogou),"bàrà kàná (""Bara new""), tàⁿ-sɔ́gù, tàⁿ-sɔ̀gù kàná (""Tansogou new"")",13.786,-3.420,,,,Togo,village in plains (with two names); farming and herding
,Dogon,Togo Kan,,Tene Kan,Ganaguenekouro,gàná-gírⁿí-kò:rò,13.840,-3.333,,,,"Togo, Guindo",village in plains; farming and herding
,Dogon,Togo Kan,,Tene Kan,Gandourou,gà:ⁿ-dúrú,13.875,-3.275,"Togo Kan dominant, also some Mossi, Worou Kan",,"Sunday, local","Togo (majority); a few Sagara (Guimiri Kan) and Poudiougo (Worou Kan); some Wedarago, Warme, Sanou, and Sawadogou (Mossi)",village in plains; Catholic church
,Dogon,Togo Kan,,Tene Kan,Ginassogou,gìrⁿá-sɔ́gù,13.905,-3.283,,,,,
,Dogon,Togo Kan,,Tene Kan,Gouroussinde,gùrùséndé,13.887,-3.321,"Togo Kan dominant, some Fulfulde",,,"Togo (majority), Guindo (Dogon); Bari and Boli (Fulbe); some Ngadiaka (Sɛgɛm caste); ",village in plains; Fulfulde speakers in a separate quater; farming and herding
,Dogon,Togo Kan,,Tene Kan,Kanama,kánúwá,13.974,-3.316,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Tene Kan,Koroma-Tintin,kòròmà-tíⁿtíⁿ,13.833,-3.421,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Tene Kan,Sansogou,sàⁿ-sɔ́gú,13.856,-3.407,also some Tomo Kan speakers,,,"Togo (majority), Guindo",village in plains; farming and herding
,Dogon,Togo Kan,,Tene Kan,Sodougara,sòrò-gàrá,13.785,-3.423,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Tene Kan,Tansogou,tɛ̀ⁿ-sɔ̀gú,13.884,-3.387,,,,Togo,village in plains; farming and herding [see also Birekana]
,Dogon,Togo Kan,,Tene Kan,Tena,tènâ:,13.851,-3.369,"Togo Kan dominant, also some Mossi and Nongo Kan",,,"Togo (majority), a few Wedarago (Mossi) and Darabo (nɔ́ŋɔ́-m̀); ","village in plains; Catholic church; farming and herding; extensive gardens next to village (papaya, màsà-kɔ́gɔ́)"
,Dogon,Togo Kan,,Tene Kan,Toroli,tóról,13.921,-3.220,,,"Monday, regional",Togo,village in plains; Protestant church; farming and herding
,Dogon,Togo Kan,,Tene Kan,Toroli-Douna,"tóról-dùnâ:, dùnâ:",13.904,-3.171,,,,"Togo, Guindo",village in plains; farming and herding [distinct and distant from Douna at N 14 11 x 03 11 W]
,Dogon,Togo Kan,,Togo Kan,Adakaoura,àná-kàrúwà,14.105,-3.366,,,,Togo,village in plains [see also Adakaoura-Fulbe for separate Fulbe section]; farming and herding
,Dogon,Togo Kan,,Togo Kan,Amadou-Badou-Ana,àmàdù-bádù ánà,14.252,-3.323,,,,"Togo (majority), Sagara","village in plains, part of Orokoro cluster (otherwise Guimiri Kan speaking), original settlers mostly from Koporo-Pe; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Amamounou,ámá-mùrⁿù,,,,,,,"global name for a cluster of 5 villages: Amamounou-Koun, Amamounou-Boro, Amamounou-Doungo, Orosogou, Anakaga"
,Dogon,Togo Kan,,Togo Kan,Amamounou-Boro,"àmàmùrⁿù-bɔ̀rɔ́ (""... lower"")",14.222,-3.257,,,,Togo,"village in plains, part of Anamounou cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Amamounou-Doungo,"àmàmùrⁿù-dùŋɔ́ (""... upper"")",14.222,-3.252,,,,Togo,"village in plains, part of Anamounou cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Amamounou-Koun,àmàmùrⁿù-kûⁿ,14.218,-3.239,,,,Togo,"village in plains, part of Anamounou cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Ana-Odiou,"ànà-ójù (""village-road"")",14.235,-3.341,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Anabene,àná bɛ́rⁿɛ́,14.237,-3.287,,,,Tog,"village in plains, originally settled from nearby Koporo-Pe; farming and herding [see also Ana-Bene-Dorou]"
,Dogon,Togo Kan,,Togo Kan,Anabene-Dorou,"ànà-bɛ̀rⁿɛ̀ dɔ́:rú (""... off.to.side"")",14.235,-3.288,,,,Togo,small village split off from Anabene; farming and herding
,Dogon,Togo Kan,,Togo Kan,Anakaga (Amamounou),"ànà-kágà, àmàmùrⁿù-ànà-kágà",14.220,-3.250,,,,Togo,"village in plains, part of Anamounou cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Anamouila-Kana (Togo Kan),"ànàmùlà kàná (""Anamouila new"")",14.039,-3.304,,,,Togo,"village in plains, rather far from Amamouila-Pe near Koporo-Na; farming and herding [distinct from Anamouila-Kana (Toro So)]"
,Dogon,Togo Kan,,Togo Kan,Anamouila-Pe (Togo Kan),ànàmùlà pɛ̌ⁿ,14.120,-3.359,,,,Togo,"village in plains; farming and herding [see also Anamouila Kana (Togo Kan), which is rather distant] [distinct from Anamouila-Pe (Toro So)]"
,Dogon,Togo Kan,,Togo Kan,Andiono-Ana,ànjó:nó ánà,14.219,-3.272,,,,Togo,small village in plains between Koporo-Pe and Samani; originally settled from Koporo-Pe; farming and herding
,Dogon,Togo Kan,,Togo Kan,Arou-Na-Bene,árú-nà:-bɛ̀rⁿɛ̀,14.138,-3.320,,,,Togo,"village in plains; farming and herding [see also Anamouila Kana, which is rather distant]"
,Dogon,Togo Kan,,Togo Kan,Azanga,ànjàŋá,13.926,-3.324,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Bama,báwⁿà,14.089,-3.337,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Bangolo-Kana,"bà:ⁿgòlò kàná (""Bangolo new"")",14.000,-3.240,,,,Togo,"village in plains, part of Bangolo village cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Bangolo-Pe,"bà:ⁿgòlò pɛ̌ⁿ (""Bangolo old"")",14.023,-3.286,,,,Togo,"village in plains, part of Bangolo village cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Barelirou (Bali),bà:lí,14.120,-3.369,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Barkala,bàrkàlá,14.150,-3.391,,,,togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Bediere,bɛ̀jɛ́rɛ̀,,,,,,,"cluster of three villages (speaking Togo Kan and Guimiri Kan), see Bediere-Gara, Bediere-Kengerena, Bediere Angouno-Ana"
,Dogon,Togo Kan,,Togo Kan,Bediere-Gara,"bɛ̀jɛ̀rɛ̀ gàrá (""Bediere big"")",14.240,-3.267,Togo Kan speaking despite some surnames suggesting other SE Dogon varieties,,,"Togo, Sagara, Guindo, Saye","village in plains, originally settled from Derou; largest of the Bediere village cluster; farming and herding; tree nursery"
,Dogon,Togo Kan,,Togo Kan,Benie-Kana,bɛ̀ɲɛ̀ kàná,14.167,-3.334,,,,Togo,"village in plains, part of Beniouma (Benie) village cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Benie-Na,bɛ̀ɲɛ̀ ná:,14.158,-3.386,,,,Togo,"village in plains, part of Beniouma (Benie) village cluster; baobab trees abundant; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Benie-Perou,bɛ̀ɲɛ̀-pèrú,14.154,-3.376,,,,Togo,"village in plains, part of Beniouma (Benie) village cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Beniouma (Benie),bɛ́ɲɛ̀,,,,,,,"village cluster; see Benie-Na, Benie-Perou, Benie-Kana"
,Dogon,Togo Kan,,Togo Kan,Birekana,bìrɛ́kàrⁿà,14.068,-3.220,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Birga,bìrgɛ́,14.037,-3.255,,,,Togo,village in plains (for Fulbe sister village see Birga-Pulo);farming and herding
,Dogon,Togo Kan,,Togo Kan,Damise-Ana,dàmísɛ̀ⁿ ánà,14.225,-3.267,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Deri,dɛ́:rú,14.253,-3.288,Togo Kan speaking despite surnames,,,"Sagara, Saye, Wodious","village in plains at the edge of an expanse of sand dunes, originally settled from Tirelli on the cliffs (but now Togo Kan speaking); farming and herding"
,Dogon,Togo Kan,,Togo Kan,Diabadia,jàbàjǎ:,14.238,-3.276,,,,Togo,"village in plains, setled out of nearby Koporo-Pe; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Djimerou,jìmɛ́:rⁿú,14.156,-3.308,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Djimerou-Doungo,jìmɛ̀:rⁿù-dùŋɔ́,14.157,-3.317,,,,Togo,village in plains; Catholic church; farming and herding
,Dogon,Togo Kan,,Togo Kan,Don,dɔ̂:ⁿ,14.183,-3.284,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Gomou,gɔ̌m,,,,,,,"village cluster in plains; see Gomou-Na, Gomou-Kana"
,Dogon,Togo Kan,,Togo Kan,Gomou-Kana,"gɔ̀m kàná (""Gomou new"")",14.189,-3.319,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Gomou-Na,"gɔ̀m ná: (""Gomou main"")",14.192,-3.333,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Goro,górò,14.256,-3.269,,,,"Saye [sây], Den [dɛ̀ɛ́ⁿ]; ","village in plains at the edge of an expanse of sand dunes, originally settled from Tirelli on the cliffs (but now Togo Kan speaking); Protestant church; farming and herding; gardens"
,Dogon,Togo Kan,,Togo Kan,Gueourou,géwrú,14.168,-3.238,,,"Friday, small","Togo, a few Sagara",village in plains (see  Gueourou Poulo-Goro for Fulbe sister village); farming and herding
,Dogon,Togo Kan,,Togo Kan,Guiregara,gírè-gárà,14.223,-3.356,Togo Kan and Guimiri Kan,,,"Togo, Sagara",village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Kene,kɛ́:rⁿɛ̀,14.154,-3.337,,,,Togo,village in plains;farming and herding
,Dogon,Togo Kan,,Togo Kan,Kontogourou,kùnúⁿgóró,14.092,-3.352,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Koporo-Na,"kòyⁿ-gìrⁿí (""Koporo house"")",14.125,-3.352,,,"Wednesday, regional",Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Koporo-Pe,"kɔ̀ⁿ-pɛ̌ⁿ (""Kon old"")",14.220,-3.292,,,"Monday, regional",Togo,village in plains; Catholic and Protestant churches; pottery; farming and herding
,Dogon,Togo Kan,,Togo Kan,Korolou,kɔ̀rɔ̀lí,14.217,-3.367,Togo Kan and Guimiri Kan,,,"Togo (majority), Sagara",village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Kourou-Koun,"kùrù-kûⁿ, kùrù-kùⁿ dágà",14.207,-3.290,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Kourou-Koun-Gara,kùrù-kùⁿ gàrá,14.202,-3.300,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Oro,órò,14.168,-3.274,,,,Togo,"village in plains, in three sections; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Orogourou,ɔ̀rɔ̀-gùrú,14.118,-3.392,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Oropa,"ɔ̀rɔ̀-pǎ: (""baobab-refuge"")",14.200,-3.238,also some Guimiri-Kan (Poudiougo surname),,,"Togo, Poudiougo",village in plains;  farming and herding
,Dogon,Togo Kan,,Togo Kan,Orosegou,ɔ̀rɔ̀-ségú,14.103,-3.359,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Orosogou (Amamounou),"ɔ̀rɔ̀-sɔ́gù, [àmà-mùrⁿù]-ɔ̀rɔ̀-sɔ́gù",14.220,-3.252,,,,,"village in plains, part of Anamounou cluster; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Oustanga,ójú-tá:ŋà,14.133,-3.316,,,,,village cluster; see Oustanga-Na and Oustanga-Pe
,Dogon,Togo Kan,,Togo Kan,Oustanga-Na,òjù-tà:ŋà nâ:,14.120,-3.289,,,,Togo,"village, part of Oustanga complex; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Oustanga-Pe,òjù-tà:ŋà pɛ̌ⁿ,14.123,-3.319,,,,Togo,"village, part of Oustanga complex; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Pel,pɛ́:rú,14.083,-3.268,,,,Togo (Dogon); Diendiere (ethnic Mossi),village in plains; Catholic and Protestant churches; farming and herding
,Dogon,Togo Kan,,Togo Kan,Peledourou (near Dessogou),"pélé-dùrù (""dove-groan"")",13.933,-3.416,,,,,
,Dogon,Togo Kan,,Togo Kan,Peledourou (near Toroli),"pélé-dùrù (""dove-groan"")",13.956,-3.218,,,,"Togo (majority), some Sagara",village in plains
,Dogon,Togo Kan,,Togo Kan,Perkana,pɛ̀:rù kàná,14.125,-3.389,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Pomboro-Dodiou,,,,,,,,"pair of villages, see Pomboro-Dodiou-Benie and Pomboro-Dodiou-Koun"
,Dogon,Togo Kan,,Togo Kan,Pomboro-Dodiou Benie,pɔ̀m-dòjù bɛ́ɲɛ̀,14.151,-3.171,,,,Togo,"village in plains, part of Pomboro-Dodiou (pɔ̀m-dójù) complex; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Pomboro-Dodiou Koun,pɔ̀m-dòjù kûⁿ,14.155,-3.156,also some Jamsay (Ongoiba),,"Wednesday, local","Ongoiba, Sagara, Guindo","village in plains, part of Pomboro-Dodiou (pɔ̀m-dójù) complex; chiefly family Ongoiba from Petaka near Douentza; Sagara from Dourou on cliffs,  Guindo from Nombori on cliffs; farming and herding"
,Dogon,Togo Kan,,Togo Kan,Saourou,ságúrú,14.203,-3.373,Togo Kan and Guimiri Kan,,,Togo and Sagara,village in plains;  farming and herding; wood carvings on supports for palaver sheds
,Dogon,Togo Kan,,Togo Kan,Sassougo,tìnà: sá:sɔ́gù,14.136,-3.187,,,,Sagara,"village in plains, considered to belong to Tina village complex; farmng and herding  "
,Dogon,Togo Kan,,Togo Kan,Satemou,sà:-têm,14.237,-3.337,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Sembere,sèmérè,14.141,-3.289,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Sinda,sí:nɛ́,14.133,-3.416,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Sorobara,sóró-bárà,14.075,-3.369,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Taounougou,tɔ̀:nɔ̀ŋú,14.107,-3.321,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Temegolo,tɛ̀:ⁿ-górò,14.136,-3.258,,,Tuesday,"Togo, Poudiougo",village in plains; Protestant church (attended by Poudiougo); farming and herding
,Dogon,Togo Kan,,Togo Kan,Tendeli,ténè,14.089,-3.408,,,"Saturday, regional",,village in plains on main road near Bankass; farming and herding
,Dogon,Togo Kan,,Togo Kan,Tiemama,tɛ́wⁿɛ̀,14.121,-3.334,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Timessogou,tíⁿ-sɔ̀gùrù,14.067,-3.307,,,,Togo,village in plains; settled originally out of Koporo-Pe; faming and herding
,Dogon,Togo Kan,,Togo Kan,Timessogou-Daga,tìⁿ-sɔ̀gùrù dágá,14.057,-3.307,,,,Togo,village in plains; settled originally out of Koporo-Pe; faming and herding
,Dogon,Togo Kan,,Togo Kan,Timessogou-Kana,tìⁿ-sɔ̀gùrù kàná,14.054,-3.304,,,,"Togo, one Guindo family",village in plains; settled originally out of Koporo-Pe; farming and herding
,Dogon,Togo Kan,,Togo Kan,Tina,"tìnâ:, tògǒn-tínà:",14.122,-3.208,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Tongoro-Legu,tɔ́ŋɔ́rⁿɔ́-légù,14.034,-3.158,,,,Togo,village in plains; Protestant church; farming and herding
,Dogon,Togo Kan,,Togo Kan,Tono-Ana,tònò-àná,14.190,-3.303,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Tonou,tɔ̀nɔ̌:,14.068,-3.339,,,,Togo,village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Wilwal,wílwàl,13.968,-3.218,,,,Togo,village in plains; settled by people from Koporo-Pe; farming and herding
,Dogon,Togo Kan,,Togo Kan,Wilwal-Ma,wìlwàl-mǎ,13.968,-3.237,Togo Kan (Togo surname) and Guimiri Kan (Sagara),,,"Togo, Sagara",village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Yowo-Korou,yɔ̀wɔ̀-kórù,14.202,-3.343,,,,"Togo, Sagara",village in plains; farming and herding
,Dogon,Togo Kan,,Togo Kan,Zon,jɔ̂:ⁿ,13.851,-3.121,"Togo Kan dominant, also some Tengou Kan, Guimiri Kan, and Samogo",,"Tuesday, regional","Togo (largest), Guindo, Sagara, Samogo [sàmɔ̀gɔ́], Doumbira, Dianggo, Ibirango",village in plains; Catholic and Protestant churches
,Dogon,Tommo So,,Tommo So,Ambaka,àmbàkâ,14.916,-3.116,,,,,
,Dogon,Tommo So,,Tommo So,Amere,àmèré,14.616,-3.251,,,,Goimba,village on rocky plateau
,Dogon,Tommo So,,Tommo So,Assa,ádà,14.568,-3.387,,,,Tembiné,village on plateau near Kany
,Dogon,Tommo So,,Tommo So,Bana,bánà,14.657,-3.185,,,,"Bana, Ambapil",village on rocky plateau
,Dogon,Tommo So,,Tommo So,Bargue,bàrgé,14.800,-3.050,,,,Toloba,village near Mori
,Dogon,Tommo So,,Tommo So,Biné,bìnɛ́,14.568,-3.359,,,,"Goudienkilé (""pluck-fly"")",village on plateau
,Dogon,Tommo So,,Tommo So,Dale-Kanda,,,,,,,Toloba,village near Mori
,Dogon,Tommo So,,Tommo So,Dama (near Ninggari),dàmá,,,,,,Guindo,village near cliffs
,Dogon,Tommo So,,Tommo So,Damassongo,dàmàsóŋò,14.622,-3.183,,,,Guindo,"village on lower slope of mountain ridge, a few houses on the plains at the base of the mountain just below; farming and herding; some gardening"
,Dogon,Tommo So,,Tommo So,Dana,dànná,14.655,-3.266,,,,,"pair of villages on plateau, part of Ninggari"
,Dogon,Tommo So,,Tommo So,Dana-Ber,"dànnà-bɛ̌r (""-near"")",14.655,-3.267,,,,Yalkouyé,"village o plateau, paired with Dana-Guiri; school; gardens; settled from Ningari-Sougi"
,Dogon,Tommo So,,Tommo So,Dana-Guiri,"dànnà-gírì (""-distant"")",14.655,-3.266,,,,Yalkouyé; Yanoga (blacksmiths),"village on plateau, piared with Dana-Ber; some blacksmiths (known for rifles); school; gardens; settled from Ningari-Sougi"
,Dogon,Tommo So,,Tommo So,Danou,dà:nú,,,,,,"Ouologuem, Kassogué. many others","village on plateau near Kendié, originally a hameau"
,Dogon,Tommo So,,Tommo So,Dassi,dàdú,14.626,-3.517,,,,"Kansaye [kàⁿsâj], Teli",village on plateau overlooking valley;  farming and light herding; gardens in valley
,Atlantic,Fulfulde,peul (French),Fulfulde,De,"de: (Fulfulde), dɛ̌: (Tommo So)",14.774,-3.253,"majority Fulfulde-speaking including many Fulbe-ized ethnic Dogon, also Tommo So-speaking Dogon",,"every fifth day, medium","Traore, Dolo, Guindo, Kelepily, Ouologuem (Dogon); Bari, Dicko (Fulbe)","village on flat plateau, mixed Fulbe-Dogon, mostly Fulfulde-speaking but with Dogon names, originally Fulbe"
,Dogon,Tommo So,,Tommo So,Diagnanté,jàŋàntê:,14.650,-3.188,,,,Tembiné,"village on rocky plateau, part of Indeli cluster"
,Dogon,Tommo So,,Tommo So,Dianga,jàŋá,14.650,-3.421,,,,Tembiné,"former hameau become a village, on plateau near Kendié"
,Dogon,Tommo So,,Tommo So,Dianganda,jàŋàndá,14.705,-3.166,,,,Yaloukouyé [jàlkújè],village on plateau near Mori
,Dogon,Tommo So,,Tommo So,Dianou,jân,14.550,-3.350,,,,Kanambaye,"village on plateau, part of Ouroli"
,Dogon,Tommo So,,Tommo So,Dimbili,dímbìl,14.641,-3.200,,,,Naparé [nà:párè],village on rocky plateau; gardens
,Dogon,Tommo So,,Tommo So,Diommo,jɔ̀mmɔ́,14.419,-3.651,"majority Tommo So speaking, also Dogulu and Bambara",,,"Kansaye [kàⁿsâj] (Tommo, majority), Fofana (Bambara), Tapily (Dogulu)",village on plateau overlooking plains; Bambara (Fofana) hold chiefhood; farming and herding [see also Diommo [Fulbe])
,Dogon,Tommo So,,Tommo So,Ditanga (Sol-Ditanga),dítàŋà,14.616,-3.283,,,,"Guiré, Goimba, Ouologuem",village on rocky plateau; use school at Sol-Djennenké; gardens; settled from Sol-Djennenké
,Dogon,Tommo So,,Tommo So,Diyey,dìyɛ̌y,,,,,,"Kassogué, Guindo, some Dolo",village near Kendié on plateau
,Dogon,Tommo So,,Tommo So,Doumogou,dùmmògú,14.518,-3.271,,,,Yalkouyé (unofficially Semmeguem),"village on plateau, part of Ningari; school; gardens; settled from Ningari-Sougi"
,Dogon,Tommo So,,Tommo So,Embisson,ɛ̀mbìsóm,14.572,-3.339,,,,"Kanambaye, Walbane",village on plateau
,Dogon,Tommo So,,Tommo So,Emdie,ɛ̀mjɛ́,14.752,-3.358,Tommo-So and Fulfulde,,,"Goimba, Tembiné, Yalkouyé (Dogon), Dicko (Fulbe)",small village or hameau on flat section of plateau
,Dogon,Tommo So,,Tommo So,Gagnaga,gáɲàgà,14.553,-3.352,,,,Kanambaye,"village on plateau, part of Ouroli"
,Dogon,Tommo So,,Tommo So,Goundoli,gùnnɔ̂l,14.603,-3.351,,dye-ers,,"Ouologuem, Walbane, some Kaita (dye-ers)","village on plateau in somewhat rocky part of plateau, on new road Bandiagara-Douentza"
,Dogon,Tommo So,,Tommo So,Guéné,gɛ̀nɛ́,14.600,-3.233,,,,Yalkouyé,village on rocky plateau
,Dogon,Tommo So,,Tommo So,Guine-Kanda,"gìnɛ̀ kàndá (""new village"")",14.656,-3.208,,"dye-ing, tanning",,"Tembiné, Balam and Napo (tanning and dye-ing)",village on rocky plateau; school
,Dogon,Tommo So,,Tommo So,Indeli,ńdɛ̂l,14.669,-3.175,,,,"Walbane, Guindo, Tembiné, Yalkouyé, Kamia","village cluster northeast of Ondougou including Omna, Indeli-Dou, Indeli-Dege, Indeli-Koumbaye"
,Dogon,Tommo So,,Tommo So,Indeli-Dege,ǹdɛ̀l-dɛ̀gɛ́,,,,,,Guindo,"village on rocky plateau, part of Indeli cluster"
,Dogon,Tommo So,,Tommo So,Indeli-Dou,ǹdɛ̀l-dû: (Lower Indeli),,,,,,"Guindo, Walbane","village on rocky plateau, part of Indeli cluster"
,Dogon,Tommo So,,Tommo So,Indeli-Koumbaye,kúmbɛ̀y,,,,,,Kamia,"village on rocky plateau, part of Indeli cluster"
,Dogon,Tommo So,,Tommo So,Iréli-Bolo,ìrìl-bɔ́lɔ̀,14.566,-3.255,,,,Guindo,"village on plateau, settled from Irely on cliffs but now Tommo-ized"
,Dogon,Tommo So,,Tommo So,Kameli,kámmìl,14.688,-3.150,,,,Yalkouyeé,village near Mori
,Dogon,Tommo So,,Tommo So (Wadouba),Kani,kǎ:n,,,,,,,"cluster of villages including Kani-Gogouna, Kani-Bonzon, and Kani-Kombele"
,Dogon,Tommo So (?) Tengou Kan (?),,Tommo So (Wadouba),Kanga,kaŋga,14.804,-3.502,,,,"Ouologuem, Ambana, Sagara",village on flat plateau; attend school at Amba (Fulbe); gardening; Ouologuem settled from Tongo-Tongo; Ambaga and Sagara settled from Tiogou (west of Yendouma)
,Dogon,Tommo So (?) Tengou Kan (?),,Tommo So (Wadouba),Kani-Bonzon,kǎ:n-bɔ̀ⁿzɔ̂ⁿ,14.133,-3.621,,,,Togo,"affiliated with Kani village cluster, but well to the south at the base of escarpment not far from Bankass; source ofthe popluation of many Dogon villages including Douna-Pey, Douarou, and the Sangha cluster"
,Dogon,Tommo So,,Tommo So (Wadouba),Kani-Gogouna,kǎ:n,14.556,-3.389,,,"every fifth day, local","Kansaye (majority), Siguipili [sìgìpîl], Kampo, Kamia, Tembiné, Fofana",village on plateau and administrative center (chef-lieu) of commune of Wadouba including Kani village cluster
,Dogon,Tengou Kan,,Tengou Kan,Kani-Kombele,kà:n-kómbòlò,,,,,,Lougué,part of Kani village cluster; at base of escarpment
,Dogon,Tommo So,,Tommo So,Kansogo,kàɲògó,14.572,-3.386,,,,Tembiné,village on plateau near Kany
,Dogon,Tommo So,,Tommo So,Kaoli,káwùl,14.625,-3.191,,,,"Tembiné, Naparé",village on rocky plateau near Ondogou
,Dogon,Tommo So,,Tommo So,Kassa,ká:dà,14.716,-3.066,,,,Tolo,"cluster of some 17 villages, mostly on plateau summit"
